rho [g cm^-3],p [dyn cm^-2],nb [fm^-3]
144961208056382.8,5.035208852714062e+32,0.0857555
146658248087572.62,5.199683297977717e+32,0.0867555
148355502441204.72,5.369475873235898e+32,0.0877555
150052975516324.75,5.54469783362606e+32,0.0887555
151750671695556.7,5.7254608672650805e+32,0.0897555
153448595429608.44,5.911876214800327e+32,0.0907555
155146751235596.94,6.104055936410142e+32,0.0917555
156845143617693.94,6.302111738940044e+32,0.0927555
158543777155483.72,6.506155678901796e+32,0.0937555
160242656455513.28,6.716299850832415e+32,0.0947555
161941786115865.75,6.932656823513204e+32,0.0957555
163641170850782.2,7.155338709853338e+32,0.0967555
165340815344976.72,7.3844583717972e+32,0.0977555
167040724313937.44,7.620128328779853e+32,0.0987555
168740902551539.0,7.862461197150419e+32,0.0997555
170441354845663.62,8.111570158434647e+32,0.1007555
172142085991057.1,8.36756815219436e+32,0.1017555
173843100940875.97,8.630568008616395e+32,0.1027555
175544404498065.7,8.900683089418492e+32,0.1037555
177246001532568.84,9.178026624512936e+32,0.1047555
178947896981325.22,9.462711857412884e+32,0.1057555
180650095848271.44,9.75485254233411e+32,0.1067555
182352603204341.44,1.0054561743702465e+33,0.1077555
184055424005308.6,1.0361953356298297e+33,0.1087555
185758563083411.12,1.067714072250748e+33,0.1097555
187462025881007.25,1.1000237834416144e+33,0.1107555
189165817165422.62,1.1331358275520132e+33,0.1117555
190869942128595.34,1.1670616091952602e+33,0.1127555
192574406022760.84,1.2018124889212883e+33,0.1137555
194279213776037.9,1.2373998535557283e+33,0.1147555
195984370751207.1,1.2738351347459822e+33,0.1157555
197689881980232.62,1.3111296975245534e+33,0.1167555
199395752936440.3,1.3492949683691818e+33,0.1177555
201101988556732.97,1.3883423416713758e+33,0.1187555
202808594018793.4,1.4282832540809337e+33,0.1197555
204515574951715.75,1.4691290885712132e+33,0.1207555
206222936433096.66,1.510891288279065e+33,0.1217555
207930683786337.6,1.553581259769016e+33,0.1227555
209638822174456.5,1.5972104102856362e+33,0.1237555
211347357218582.44,1.6417902069165555e+33,0.1247555
213056294172179.28,1.687332037156874e+33,0.1257555
213086836411723.5,1.688154599374303e+33,0.12577337
230199284200453.56,2.1908606248231706e+33,0.13577337
247356953216666.3,2.7959917642798904e+33,0.14577337
264565094463481.2,3.517019654227227e+33,0.15577337
